"LIBRARYREFERENCE","COMMENT","POWER RATE","SIZE","SHEETPART","DESIGNATOR","DESCRIPTION"
"AMS1117","*","","","*","U?",""
"BAT54C","*","","","*","U?",""
"BUTTON_SMD","*","","","*","BUTT?",""
"CAPACITOR","*","","0805","*","C?",""
"CAPACITOR ALU","*","","","*","C?",""
"CAPACITOR TATA","*","","","*","C?",""
"CH340G","*","","","*","U?",""
"CON-2","*","","","*","J?",""
"CON-3","*","","","*","K?",""
"CON-4","*","","","*","C?",""
"CON-6","*","","","*","J?",""
"CON-8","*","","","*","K?",""
"DIODE","*","","","*","D?",""
"DIODE_ZE","*","","","*","U?",""
"Dual_BAT","*","","","*","BAT?",""
"ESP32-WROOM-32E","*","","","*","U?",""
"FB","*","","","*","FB?",""
"HOLDER BAT","*","","","*","VBAT?",""
"ICL7662CBA","*","","","*","U?",""
"INA128UA","*","","","*","U?",""
"INDUCTOR","*","","","*","L?",""
"JACK 2.1","*","","","*","J?",""
"JACK_3.5","*","","","*","J?",""
"LED_BLUE","*","","","*","D?",""
"LED_RED","*","","","*","D?",""
"LM393DT","*","","","*","U?",""
"OPA188AID","*","","","*","U?",""
"OPA2134UA","*","","","*","U?",""
"PJ-327A-5P","*","","","*","K?",""
"P_MOS","*","","","*","Q?",""
"RESISTOR","*","*","0603","*","R?",""
"RESISTOR TH","*","","TH","*","R?",""
"RT9013","*","","","*","U?",""
"SB","*","","","*","SB?",""
"SLIDE-SW","*","","","*","SW?",""
"SMAJ12","*","","","*","D?",""
"SMAJ5.0","*","","","*","D?",""
"SS34","*","","","*","D?",""
"STM32F103C8T6","*","","","*","U?",""
"STM32F407VET6","*","","","*","U?",""
"TPS5430DDA","*","","","*","U?",""
"TPS54331DR","*","","","*","U?",""
"Test_point","*","","","*","TP?",""
"USB_C","*","","","*","",""
"VRES","*","","","*","VR?",""
"XTAL 8MHZ","*","","","*","*",""
"XTAL_12MHZ","*","","","*","Y?",""
"XTAL_2","*","","","*","Y?",""
"XTAL_4","*","","","*","Y?",""
